headline,published,recent,tickers,match_reasons,article_score,url
"Jim Cramer's approach to rallying AI stocks, plus updates on our breakup plays",2026-05-11T16:06:08+00:00,True,,,0,https://www.cnbc.com/2026/05/11/cramer-on-rallying-ai-stocks-plus-updates-on-our-breakup-stories.html
"Trump invites Elon Musk, Tim Cook, Larry Fink and other CEOs to join China trip for Xi summit",2026-05-11T15:54:52+00:00,True,"AAPL, BLK, TSLA","AAPL:company_name:HIGH, TSLA:company_name:HIGH, BLK:company_name:HIGH",0,https://www.cnbc.com/2026/05/11/trump-ceos-elon-musk-tim-cook-larry-fink-xi-china-summit.html
"The No. 1 most underrated communication skill—it's a simple but 'powerful' technique that can save a conversation, says expert",2026-05-11T15:25:01+00:00,True,,,0,https://www.cnbc.com/2026/05/11/the-no-1-most-underappreciated-communication-skill-says-expert-it-can-save-a-conversation.html
Hassett says AI isn't costing anybody their job right now — but tech layoffs keep coming,2026-05-11T14:50:11+00:00,True,ORCL,ORCL:company_name:HIGH,-3,https://www.cnbc.com/2026/05/11/trump-white-house-hassett-ai-jobs.html
Wall St pauses after record run as U.S.-Iran talks stall - Reuters,2026-05-11T14:29:24+00:00,True,,,1,https://news.google.com/rss/articles/CBMilgFBVV95cUxNalRramdTOWdXOEJkZHl0RVQzNWtQbnE2b3ZMWVc1V3JLZ3IxTFplM1NBVnhRSVBXbHNDV2hXMWJnRnpFeXBoeXcwU1djVzh4UTg0aENiWG1waUtfTnlQeGRDQjJyd1lDdGpFUndna0luRUp6UlNDeDBFWFJlMlFxYmxJckRjM3UwNDRuYmJfcExsRjRmQ0E?oc=5
Dollar little changed as Trump rejects Iran peace move - Reuters,2026-05-11T14:29:00+00:00,True,,,0,https://news.google.com/rss/articles/CBMitAFBVV95cUxPcTZ6NW1CNXZSaHpYd2tlQUtjRlFuYmZOc3hkVzlGMVRKVlFXMUwtNG40VC1jSURSVTd2cEVCV2ZXMHNHTGM0YU11OFBfMEtaQXBIN3dyQVhVc1Rmdng4SDAwYU1GUlZWZVRIYzc5S1ROQUJLcmpraHpVU1V1TnpLNm9kVXAtM1ZKUk9aQzQ5OEdPNnZRV0U4ZGlONFMtUmdVcXA0M2xpU2FYQThteFJvLUV4bUU?oc=5
Traders are treating this legacy tech giant like the next 'meme' stock,2026-05-11T14:19:14+00:00,True,GGLT,GGLT:company_name:HIGH,1,https://www.cnbc.com/2026/05/11/traders-are-treating-this-legacy-tech-giant-like-the-next-meme-stock.html
"Emerging market investors shrug off Iran war shock, IIF data shows - Reuters",2026-05-11T14:12:09+00:00,True,EMRH,EMRH:company_name:HIGH,0,https://news.google.com/rss/articles/CBMitwFBVV95cUxQalJ3RWE2OGRtd0QzaE02VHVLN1oxUlBWVXRudmFLV1ZwRGV5c1pLQTYxbmlLNzF2R0FOYW1EWlgxejhYRHR5QUhlWHE0ekFDNy0yTTlMTGpTTk5RenVOWHdJZ1A4NzExcEgtWjBySFdyUDhKYjdzcXN4ZHpMSm9YV09MY1MtdEJDRlNPRURsTHdZN1dYWlBKbWpCellJNFhmZ0FuODM4M0t3Q3RBSXlVam9tZWwzTVk?oc=5
"UK sanctions Iran-linked network, cites attack plots and finance operations - Reuters",2026-05-11T13:56:56+00:00,True,,,0,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQcUZCUm96ZUNHWE9XRlRwUVR3UG1ORFY5WmtjZjV3N1AtQ3VMY0xvQ3NLZnNTQ3B6azBwYlluOXBVbExLVWJmTExhcW9ZSVA0MDBwY3pPSWNfa2ZvNkpGVmw1Ulp5eGxxM3hnWmpyTlNEV094bTV3ejk3Qk9DT01OV3poNFBXVXZXUUpheXJOYnFieENlNS1obnltbk1uN0RYcDAyS2pFS3dZVnEwSTd0V0hMdk5qRDVLLWJNWS1JbEtlQQ?oc=5
Jim Cramer's top 10 things to watch in the stock market Monday,2026-05-11T13:29:52+00:00,True,,,0,https://www.cnbc.com/2026/05/11/jim-cramers-top-10-things-to-watch-in-the-stock-market-monday.html
"‘The haters will hate’: Dan Ives predicts Nasdaq 30,000 as AI rally expands",2026-05-11T12:53:03+00:00,True,NDAQ,NDAQ:company_name:HIGH,2,https://www.cnbc.com/2026/05/11/the-haters-will-hate-dan-ives-predicts-nasdaq-rally.html
Heathrow passenger numbers fall in April as Iran war disrupts travel - Reuters,2026-05-11T12:46:36+00:00,True,,,0,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNR3N1OFdaUGRRSzlNYy1uUTBsQy1BTjdWejRXb3B2bnJiR01CRGlLQ2lBekU4Wk05enRTRlNTZTZWNTYwaFFsYjlRSXpyR1I5anhGa1E1YlZPTU1haVA2WS1WWmNRWUU2NjVucy1qaEZEYTl2SkNQUnNEZ3RMNG52VTh4ejhOUHM5QUhTVkVuMEZ1cjEwcnRyd0lEZElDN00wVTI0T3VOZVZ1UVU?oc=5
What key issues are Trump and Xi set to discuss on Iran war? - Reuters,2026-05-11T12:33:27+00:00,True,,,0,https://news.google.com/rss/articles/CBMioAFBVV95cUxPQXVpWUtPa1F0S2VQYVA2RXk2cDZOMVNSOTgxX3RHSm1ZemxkeFhDRDFrTGVha0VEd3dSU3NWOS1zbTBiV1NmQXBudTBrVVpFOXVoTVJuNjZ4VHJraUs1V2JSS3VOVDhNWGlzV2g3d1BXbmpaRnhKVXdGYlpQazh6dG5iRTFXZFQ0ZVQxQlZfMHFlMGVIQy1xYllqbkl3UkVZ?oc=5
"At TV upfronts, AI is in and corporate shuffles are reshaping the line-up",2026-05-11T12:11:11+00:00,True,,,0,https://www.cnbc.com/2026/05/11/tv-upfronts-ai-data-industry-shifts.html
"Trump dismisses Iran's offer, oil rises as Hormuz closure persists - Reuters",2026-05-11T12:03:11+00:00,True,,,-1,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNTTFIeHh6enp1TW1pNmRpVy1pZ1ZtaVFvNTF2emxOOUg3VXV1RWE3SkFqb3pwY28yS0pBTDF3MjRFSVNRclFhTWtCZlN0SmQ1MDV2YUZJSXJhdXRUdldyM3VZbEkzYnIxUXlvSk1JREJwVURVVGJhcV9vcEU2WnlLcVZKaXZQX0Fac1VEWW1VZjlwdDNNWHp5ZENCNTROaEhsVFRuQ2ZUd0gwTmc?oc=5
